id,fulfillment_code,country_id:id
XCAB,XCAB,base.ca
YYC1,YYC1,base.ca
UBC1,UBC1,base.ca
YVR2,YVR2,base.ca
YVR3,YVR3,base.ca
YYZ3,YYZ3,base.ca
VOPA,VOPA,base.ca
YYZ4,YYZ4,base.ca
YYZ6,YYZ6,base.ca
YYZ2,YYZ2,base.ca
PRTO,PRTO,base.ca
YYZ1,YYZ1,base.ca
KTO2,KTO2,base.ca
XCAC,XCAC,base.ca
YYZ7,YYZ7,base.ca
YVR4,YVR4,base.ca
YOW1,YOW1,base.ca
KTO7,KTO7,base.ca
YEG1,YEG1,base.ca
YYZ9,YYZ9,base.ca
KTO3,KTO3,base.ca
KTO4,KTO4,base.ca
VOPE,VOPE,base.ca
YUL2,YUL2,base.ca
VOA1,VOA1,base.ca
YTZ1,YTZ1,base.ca
YOW3,YOW3,base.ca
YHM1,YHM1,base.ca
YOO1,YOO1,base.ca
YXX2,YXX2,base.ca
LEJ1,LEJ1,base.de
FRA3,FRA3,base.de
EDE4,EDE4,base.de
MUC3,MUC3,base.de
DUS2,DUS2,base.de
STR1,STR1,base.de
CGN1,CGN1,base.de
FRA1,FRA1,base.de
EDE5,EDE5,base.de
BER3,BER3,base.de
HAM1,HAM1,base.de
HAM2,HAM2,base.de
DTM1,DTM1,base.de
DTM2,DTM2,base.de
XDEH,XDEH,base.de
BER6,BER6,base.de
LEJ2,LEJ2,base.de
XDEB,XDEB,base.de
XDEI,XDEI,base.de
XDEJ,XDEJ,base.de
XDES,XDES,base.de
XDEU,XDEU,base.de
XDET,XDET,base.de
XESB,XESB,base.es
XESA,XESA,base.es
MAD4,MAD4,base.es
BCN3,BCN3,base.es
BCN2,BCN2,base.es
BCN1,BCN1,base.es
MAD5,MAD5,base.es
XESC,XESC,base.es
ORY1,ORY1,base.fr
MRS1,MRS1,base.fr
LYS1,LYS1,base.fr
XFRG,XFRG,base.fr
BVA1,BVA1,base.fr
XFRE,XFRE,base.fr
LIL1,LIL1,base.fr
XFRF,XFRF,base.fr
XFRH,XFRH,base.fr
MXP5,MXP5,base.it
XITC,XITC,base.it
XITD,XITD,base.it
MXP3,MXP3,base.it
FCO1,FCO1,base.it
MEX1,MEX1,base.mx
MEX2,MEX2,base.mx
MEX3,MEX3,base.mx
WRO1,WRO1,base.pl
POZ1,POZ1,base.pl
KTW1,KTW1,base.pl
SZZ1,SZZ1,base.pl
WRO2,WRO2,base.pl
WRO3,WRO3,base.pl
BTS2,BTS2,base.pl
EDI4,EDI4,base.uk
LTN1,LTN1,base.uk
BHX1,BHX1,base.uk
LBA1,LBA1,base.uk
CWL1,CWL1,base.uk
EUK5,EUK5,base.uk
LTN2,LTN2,base.uk
GLA1,GLA1,base.uk
LTN4,LTN4,base.uk
XUKD,XUKD,base.uk
BHX2,BHX2,base.uk
MAN1,MAN1,base.uk
BHX3,BHX3,base.uk
LCY2,LCY2,base.uk
LBA2,LBA2,base.uk
MAN2,MAN2,base.uk
LBA3,LBA3,base.uk
LCY1,LCY1,base.uk
XUKA,XUKA,base.uk
XUKC,XUKC,base.uk
XUKK,XUKK,base.uk
SLC1,SLC1,base.us
SLC3,SLC3,base.us
SLC4,SLC4,base.us
HSL1,HSL1,base.us
CAE1,CAE1,base.us
GSP1,GSP1,base.us
OKC1,OKC1,base.us
CLT3,CLT3,base.us
CLT4,CLT4,base.us
RDU1,RDU1,base.us
MSP1,MSP1,base.us
MEM2,MEM2,base.us
STL8,STL8,base.us
BOS1,BOS1,base.us
PHX3,PHX3,base.us
PHX5,PHX5,base.us
PHX6,PHX6,base.us
PHX7,PHX7,base.us
PHX8,PHX8,base.us
PHX9,PHX9,base.us
SAZ1,SAZ1,base.us
TFC1,TFC1,base.us
TUS1,TUS1,base.us
TUS2,TUS2,base.us
BFL1,BFL1,base.us
FAT1,FAT1,base.us
LAX9,LAX9,base.us
LGB1,LGB1,base.us
LGB3,LGB3,base.us
LGB4,LGB4,base.us
LGB6,LGB6,base.us
LGB7,LGB7,base.us
LGB9,LGB9,base.us
OAK3,OAK3,base.us
OAK4,OAK4,base.us
OAK6,OAK6,base.us
ONT2,ONT2,base.us
ONT3,ONT3,base.us
ONT4,ONT4,base.us
ONT7,ONT7,base.us
ONT6,ONT6,base.us
HLA3,HLA3,base.us
ONT9,ONT9,base.us
PCA1,PCA1,base.us
PCA2,PCA2,base.us
PSP1,PSP1,base.us
SCK1,SCK1,base.us
SCK3,SCK3,base.us
SJC7,SJC7,base.us
SMF1,SMF1,base.us
SMF3,SMF3,base.us
SNA4,SNA4,base.us
SNA6,SNA6,base.us
SNA9,SNA9,base.us
DCA2,DCA2,base.us
SNA7,SNA7,base.us
SNA8,SNA8,base.us
LGB5,LGB5,base.us
KRB1,KRB1,base.us
XUSD,XUSD,base.us
DDV5,DDV5,base.us
DEN2,DEN2,base.us
DEN3,DEN3,base.us
BDL2,BDL2,base.us
BDL3,BDL3,base.us
PHL1,PHL1,base.us
PHL3,PHL3,base.us
PHL7,PHL7,base.us
PHL9,PHL9,base.us
PHL8,PHL8,base.us
TPA2,TPA2,base.us
LAL1,LAL1,base.us
TPA1,TPA1,base.us
JAX2,JAX2,base.us
JAX3,JAX3,base.us
MCO1,MCO1,base.us
MIA1,MIA1,base.us
UFL4,UFL4,base.us
SFL1,SFL1,base.us
ATL2,ATL2,base.us
ATL7,ATL7,base.us
ATL8,ATL8,base.us
MGE1,MGE1,base.us
MGE7,MGE7,base.us
MGE3,MGE3,base.us
PGA1,PGA1,base.us
SAV3,SAV3,base.us
HMW1,HMW1,base.us
MDW4,MDW4,base.us
MDW6,MDW6,base.us
MDW7,MDW7,base.us
MDW8,MDW8,base.us
MDW9,MDW9,base.us
PIL1,PIL1,base.us
STL4,STL4,base.us
STL6,STL6,base.us
STL7,STL7,base.us
HLU1,HLU1,base.us
IND1,IND1,base.us
IND2,IND2,base.us
IND3,IND3,base.us
IND4,IND4,base.us
IND8,IND8,base.us
IND5,IND5,base.us
IND7,IND7,base.us
PIN1,PIN1,base.us
SDF8,SDF8,base.us
XUSE,XUSE,base.us
MKC4,MKC4,base.us
MKC6,MKC6,base.us
CVG1,CVG1,base.us
CVG2,CVG2,base.us
CVG3,CVG3,base.us
CVG8,CVG8,base.us
IVSA,IVSA,base.us
IVSB,IVSB,base.us
HCN1,HCN1,base.us
LEX1,LEX1,base.us
LEX3,LEX3,base.us
LEX2,LEX2,base.us
SDF1,SDF1,base.us
SDF2,SDF2,base.us
SDF4,SDF4,base.us
SDF6,SDF6,base.us
SDF7,SDF7,base.us
SDF9,SDF9,base.us
BWI2,BWI2,base.us
HBA1,HBA1,base.us
HSE1,HSE1,base.us
MDT2,MDT2,base.us
DCA1,DCA1,base.us
BOS7,BOS7,base.us
DET1,DET1,base.us
DET2,DET2,base.us
DTW1,DTW1,base.us
GRR1,GRR1,base.us
RNO3,RNO3,base.us
RNO4,RNO4,base.us
LAS1,LAS1,base.us
LAS2,LAS2,base.us
LAS6,LAS6,base.us
LAS7,LAS7,base.us
EWR1,EWR1,base.us
EWR4,EWR4,base.us
EWR6,EWR6,base.us
EWR7,EWR7,base.us
EWR8,EWR8,base.us
EWR9,EWR9,base.us
LGA6,LGA6,base.us
LGA7,LGA7,base.us
LGA9,LGA9,base.us
TEB3,TEB3,base.us
TEB6,TEB6,base.us
ACY1,ACY1,base.us
ACY2,ACY2,base.us
CMH1,CMH1,base.us
CMH2,CMH2,base.us
CMH3,CMH3,base.us
CMH4,CMH4,base.us
CMH6,CMH6,base.us
HCM1,HCM1,base.us
CLE2,CLE2,base.us
CLE3,CLE3,base.us
POH1,POH1,base.us
PDX6,PDX6,base.us
HPD1,HPD1,base.us
PDX7,PDX7,base.us
PDX9,PDX9,base.us
AVP1,AVP1,base.us
AVP2,AVP2,base.us
AVP3,AVP3,base.us
AVP6,AVP6,base.us
AVP8,AVP8,base.us
ABE1,ABE1,base.us
ABE2,ABE2,base.us
ABE3,ABE3,base.us
ABE4,ABE4,base.us
ABE5,ABE5,base.us
MDT1,MDT1,base.us
PHL4,PHL4,base.us
PHL5,PHL5,base.us
PHL6,PHL6,base.us
PPA1,PPA1,base.us
XUSC,XUSC,base.us
BNA1,BNA1,base.us
BNA2,BNA2,base.us
BNA3,BNA3,base.us
CHA1,CHA1,base.us
CHA2,CHA2,base.us
DAL3,DAL3,base.us
DFW1,DFW1,base.us
DFW8,DFW8,base.us
DFW6,DFW6,base.us
DFW7,DFW7,base.us
FTW2,FTW2,base.us
HDA1,HDA1,base.us
FTW3,FTW3,base.us
FTW4,FTW4,base.us
FTW6,FTW6,base.us
FTW7,FTW7,base.us
FTW9,FTW9,base.us
FTW8,FTW8,base.us
PTX1,PTX1,base.us
SAT1,SAT1,base.us
SAT2,SAT2,base.us
XUSB,XUSB,base.us
HOU2,HOU2,base.us
HOU3,HOU3,base.us
BWI4,BWI4,base.us
RIC1,RIC1,base.us
RIC2,RIC2,base.us
RIC3,RIC3,base.us
HRC1,HRC1,base.us
BFI1,BFI1,base.us
BFI3,BFI3,base.us
BFI4,BFI4,base.us
GEG1,GEG1,base.us
PWA1,PWA1,base.us
SEA6,SEA6,base.us
SEA8,SEA8,base.us
MKE1,MKE1,base.us
MKE2,MKE2,base.us
ONT5,ONT5,base.us
OAK5,OAK5,base.us
ONT8,ONT8,base.us
LGB8,LGB8,base.us
DEN5,DEN5,base.us
DEN6,DEN6,base.us
BDL1,BDL1,base.us
BDL5,BDL5,base.us
MIA5,MIA5,base.us
MCO5,MCO5,base.us
JAX5,JAX5,base.us
ATL6,ATL6,base.us
MDW2,MDW2,base.us
MDW5,MDW5,base.us
IND6,IND6,base.us
MCI1,MCI1,base.us
MCI5,MCI5,base.us
TUL1,TUL1,base.us
CVG7,CVG7,base.us
CVG5,CVG5,base.us
BWI5,BWI5,base.us
BOS5,BOS5,base.us
DTW5,DTW5,base.us
MSP5,MSP5,base.us
RNO1,RNO1,base.us
RNO2,RNO2,base.us
ACY5,ACY5,base.us
EWR5,EWR5,base.us
LGA8,LGA8,base.us
ABE8,ABE8,base.us
BUF5,BUF5,base.us
CLT5,CLT5,base.us
CLT1,CLT1,base.us
RDU5,RDU5,base.us
CLT2,CLT2,base.us
CLE5,CLE5,base.us
PDX5,PDX5,base.us
PIT5,PIT5,base.us
PIT1,PIT1,base.us
BNA5,BNA5,base.us
SAT5,SAT5,base.us
HOU1,HOU1,base.us
BWI1,BWI1,base.us
RIC5,RIC5,base.us
BFI5,BFI5,base.us
BFI7,BFI7,base.us
BFI6,BFI6,base.us
MKE5,MKE5,base.us
BNA4,BNA4,base.us
VUBA,VUBA,base.us
VUGA,VUGA,base.us
MEM4,MEM4,base.us
AGS2,AGS2,base.us
JFK8,JFK8,base.us
GYR1,GYR1,base.us
CSG1,CSG1,base.us
DAL2,DAL2,base.us
BOI2,BOI2,base.us
PCW1,PCW1,base.us
BHM1,BHM1,base.us
TUL2,TUL2,base.us
DSM5,DSM5,base.us
AKC1,AKC1,base.us
